feature,coef
player1_h2h,0.060334111388577846
player0_h2h,-0.05236889111953961
player0_break_points_faced,0.032759837805586174
player1_break_points_faced,-0.029936153467937782
player0_age,0.020711428270094732
player1_match_difficulty,0.0181152634502965
player1_age,-0.016577493783296364
player1_bp_opportunities,0.012039267860536268
player0_bp_opportunities,-0.011345001842853206
player0_first_serve_won,-0.010271557918124334
player1_first_serve_won,0.009743770065944807
player1_break_points_saved,0.008957344314359865
player0_match_difficulty,-0.008832260019159991
player0_break_points_saved,-0.007491928594719114
player1_second_serve_won,0.007238258073234314
player0_second_serve_won,-0.007120258021733213
round,0.006995528778453385
player0_hand,0.0069399015500762485
player0_aces,-0.006157236392708115
player1_hand,-0.0061034505802758
player1_aces,0.00557390737093973
player1_return_second_serve_won,0.004329883611912223
player0_return_second_serve_won,-0.004177046869510619
player1_return_first_serve_pt_won,0.004054794174226662
surface_Grass,0.003430336475772248
player0_return_first_serve_pt_won,-0.0031819642975154535
player0_bp_converted,-0.002899134092449203
draw_size,0.0025853191200363355
player1_bp_converted,0.0022856303645354408
surface_Clay,-0.002137320360418721
surface_Hard,-0.0015251133007418195
player0_first_serve_pt,-0.0014473264672119801
best_of,0.001429508093528032
player1_double_faults,-0.0012582661811937523
player0_double_faults,0.0012046650547866298
player1_first_serve_pt,0.0009462093913630048
tourney_level_M,-0.000513263119731121
tourney_level_G,0.0005037221030368015
player0_rank_points,-0.0004897081053798908
player1_rank_points,0.0004789446164361805
day_sin,-0.0004715319096710696
tourney_level_F,0.000303249756418605
tourney_level_A,-0.0002941103171392148
surface_Carpet,0.0002316956066237112
year,-0.0001965769520794391
day_cos,9.35373404092948e-05
player0_id,-2.746786881754929e-06
player1_id,2.743858471631078e-06
tourney_level_D,0.0
