feature,coef
player1_rank_points,0.5661440700365464
player0_rank_points,-0.5409021023436165
player0_return_first_serve_pt_won,-0.10705172840938908
player0_break_points_faced,0.10670681032206267
player1_first_serve_won,0.10222820020837461
player1_return_first_serve_pt_won,0.10185662042470443
player0_match_difficulty,-0.08912501045181824
player0_return_second_serve_won,-0.0860617772995559
player1_return_second_serve_won,0.08479819500637666
player0_aces,-0.07973875693741861
player1_break_points_faced,-0.07689362006042762
player1_match_difficulty,0.0743234427637263
player1_aces,0.06964263921429774
player1_second_serve_won,0.0632647602505704
player0_h2h,-0.06243664827167043
player1_age,-0.06084325219787681
player1_h2h,0.060428241959137506
player0_second_serve_won,-0.06039318962592926
player0_age,0.05937303069281661
player0_first_serve_won,-0.05574430028937461
player1_double_faults,-0.054427629406130794
player0_double_faults,0.05318219984335634
player0_break_points_saved,-0.04902689864981111
player1_break_points_saved,0.0346973478858341
player0_bp_opportunities,-0.016944910842453066
player1_first_serve_pt,0.013247507571112387
player1_bp_opportunities,0.011652907246093245
player0_hand,0.009193104447645583
player0_first_serve_pt,-0.009036658939206837
player1_hand,-0.008830486031026864
player0_bp_converted,-0.008540279285556266
player1_bp_converted,0.0055047693568403815
