feature,coef
player0_rank,0.33233997511045715
player1_rank,-0.32023423148406877
player0_h2h,-0.1831448082136487
player1_h2h,0.17303022991356642
player0_return_first_serve_pt_won,-0.13282065349267758
player1_break_points_faced,-0.13113264732836252
player0_first_serve_won,-0.12591252835332553
player1_return_first_serve_pt_won,0.10365145184156338
player1_return_second_serve_won,0.10236118362270018
player0_return_second_serve_won,-0.10050579595634487
player0_break_points_faced,0.091271259657615
player1_first_serve_won,0.08166114443300816
player0_aces,-0.07533618531766118
player1_second_serve_won,0.07450237036469456
player1_aces,0.07248906604544336
player0_match_difficulty,-0.07235573501627285
player0_second_serve_won,-0.07148060086606556
player1_match_difficulty,0.06613611854090816
player0_double_faults,0.06361725197221806
player1_break_points_saved,0.05956521173248038
player0_age,0.058078103322212846
player1_double_faults,-0.05266467899101832
player1_age,-0.05221078864703423
player0_break_points_saved,-0.048559439769329305
player0_id,-0.041208380683954556
player1_id,0.037603118159287637
player1_bp_opportunities,0.03321809835780495
player0_bp_opportunities,-0.02468820126941724
player0_first_serve_pt,-0.022198775808728033
player0_bp_converted,-0.018130471463509008
day_sin,-0.016862195383415008
player1_first_serve_pt,0.01468098215857074
player0_hand,0.011992454247944373
day_cos,-0.011710019356284728
best_of,0.011254575926385629
round,0.010952518755039694
player1_bp_converted,0.00976080480544426
surface_Carpet,-0.00972287644948265
draw_size,-0.009649631423033128
surface_Hard,0.005677758322423928
tourney_level_G,-0.0034827164575462624
tourney_level_A,0.003299973410581805
surface_Grass,-0.0030887793099599247
player1_hand,-0.002133251873859006
surface_Clay,0.0016119190124152748
tourney_level_F,-0.001558830992249585
tourney_level_M,-0.0005857835374964984
tourney_level_D,0.0
