feature,coef
player1_rank_points,0.5654083176686995
player0_rank_points,-0.5419520952866026
return_first_serve_pt_won,0.13221267671200493
break_points_faced,-0.11915011969982155
return_second_serve_won,0.11180731161050239
first_serve_won,0.1021925801225865
aces,0.09917418820398233
second_serve_won,0.0809722112790071
double_faults,-0.07292112578191226
match_difficulty,0.07172112354472009
player0_h2h,-0.06266039596579295
player1_h2h,0.059526316140154176
break_points_saved,0.05682469212739438
player1_age,-0.04902630612805479
player0_age,0.04826147238770273
player0_id,-0.025630850012219666
player1_id,0.022028329098929215
bp_opportunities,0.020463456251976455
first_serve_pt,0.01542912139149815
bp_converted,0.010405711920790428
player0_hand,0.00943562509620329
player1_hand,-0.008698694011545037
